Dia;Quejas
15/10/2019;9
16/10/2019;8
17/10/2019;16
18/10/2019;13
19/10/2019;0
20/10/2019;0
21/10/2019;10
22/10/2019;12
23/10/2019;10
24/10/2019;5
25/10/2019;14
26/10/2019;0
27/10/2019;0
28/10/2019;3
29/10/2019;11
30/10/2019;10
31/10/2019;5
01/11/2019;12
02/11/2019;0
03/11/2019;0
04/11/2019;1
05/11/2019;18
06/11/2019;6
07/11/2019;10
08/11/2019;11
09/11/2019;2
10/11/2019;0
11/11/2019;0
12/11/2019;23
13/11/2019;14
14/11/2019;11
15/11/2019;27
16/11/2019;1
17/11/2019;0
18/11/2019;25
19/11/2019;29
20/11/2019;31
21/11/2019;15
22/11/2019;23
23/11/2019;1
24/11/2019;0
25/11/2019;30
26/11/2019;20
27/11/2019;20
28/11/2019;13
29/11/2019;24
30/11/2019;0
01/12/2019;0
02/12/2019;21
03/12/2019;21
04/12/2019;14
05/12/2019;18
06/12/2019;9
07/12/2019;1
08/12/2019;0
09/12/2019;25
10/12/2019;24
11/12/2019;21
12/12/2019;15
13/12/2019;9
14/12/2019;6
15/12/2019;0
16/12/2019;21
17/12/2019;19
18/12/2019;14
19/12/2019;6
20/12/2019;18
21/12/2019;3
22/12/2019;0
23/12/2019;13
24/12/2019;2
25/12/2019;0
26/12/2019;13
27/12/2019;14
28/12/2019;0
29/12/2019;1
30/12/2019;10
31/12/2019;0
01/01/2020;0
02/01/2020;11
03/01/2020;6
04/01/2020;0
05/01/2020;0
06/01/2020;0
07/01/2020;14
08/01/2020;10
09/01/2020;16
10/01/2020;9
11/01/2020;4
12/01/2020;0
13/01/2020;14
14/01/2020;11
15/01/2020;13
16/01/2020;9
17/01/2020;7
18/01/2020;1
19/01/2020;1
20/01/2020;13
21/01/2020;10
22/01/2020;18
23/01/2020;23
24/01/2020;13
25/01/2020;1
26/01/2020;1
27/01/2020;16
28/01/2020;12
29/01/2020;12
30/01/2020;12
31/01/2020;16
01/02/2020;4
02/02/2020;0
03/02/2020;14
04/02/2020;16
05/02/2020;24
06/02/2020;22
07/02/2020;20
08/02/2020;2
09/02/2020;1
10/02/2020;20
11/02/2020;8
12/02/2020;10
13/02/2020;18
14/02/2020;13
15/02/2020;0
16/02/2020;0
17/02/2020;18
18/02/2020;29
19/02/2020;17
20/02/2020;22
21/02/2020;10
22/02/2020;3
23/02/2020;0
24/02/2020;16
25/02/2020;15
26/02/2020;16
27/02/2020;16
28/02/2020;13
29/02/2020;3
01/03/2020;0
02/03/2020;17
03/03/2020;16
04/03/2020;12
05/03/2020;19
06/03/2020;11
07/03/2020;2
08/03/2020;0
09/03/2020;16
10/03/2020;21
11/03/2020;19
12/03/2020;15
13/03/2020;16
14/03/2020;3
15/03/2020;0
16/03/2020;13
17/03/2020;14
18/03/2020;17
19/03/2020;15
20/03/2020;8
21/03/2020;0
22/03/2020;0
23/03/2020;0
24/03/2020;10
25/03/2020;12
